,Asosa [GWh],Awasa [GWh],BahirDar [GWh],DireDawa [GWh],Gambela [GWh],Goba [GWh],Gondar [GWh],Harar [GWh],Jijiga [GWh],Jimma [GWh],Mekelle [GWh],Semera [GWh],AddisAbaba [GWh]
10/1/18,0.034217189,0.780253763,0.261112906,0.071834513,0.149370481,0.170069943,0.072248212,0.0943722,0.0993426,0.680785302,0.172738793,0.124912872,0.861136788
10/2/18,0.060509072,1.122555234,0.421012585,0.0727248,0.100185423,0.2790618,0.068071586,0.0943722,0.0993426,0.485273961,0.187168073,0.1306692,1.23557231
10/3/18,0.183014938,0.974977835,0.621751839,0.07028089,0.283992986,0.2790618,0.136218726,0.094367793,0.090647104,0.634646028,0.187252335,0.1306692,1.235984892
10/4/18,0.115463029,1.076297763,0.734603456,0.0727248,0.122079957,0.278988097,0.087366587,0.0943722,0.0993426,0.714379188,0.18582469,0.1306692,1.284096981
10/5/18,0.150808696,0.907568063,0.817523759,0.0727248,0.194511437,0.2790618,0.130234775,0.0943722,0.0993426,0.837534711,0.18716869,0.1306692,1.284129
10/6/18,0.072178917,1.156499027,0.88628709,0.0727248,0.215227185,0.276248812,0.159933284,0.0943722,0.0993426,0.864994366,0.187092369,0.1306692,1.284129
10/7/18,0.033207936,1.116133091,0.544465645,0.0727248,0.004780003,0.277231558,0.004472649,0.0943722,0.0993426,0.651615327,0.169417316,0.1306692,1.266908873
10/8/18,0.247564738,0.777634272,0.906970266,0.0727248,0.316128655,0.271017238,0.152998084,0.0943722,0.0993426,0.8088563,0.1873056,0.1306692,1.261170705
10/9/18,0.216633753,0.9174203,0.717797019,0.0727248,0.282498068,0.180049691,0.151472957,0.089745725,0.0993426,0.823816209,0.1873056,0.128185767,1.245181938
10/10/18,0.184796727,1.106812824,0.919053256,0.067688819,0.240867604,0.220349887,0.155739945,0.089415723,0.0993426,0.806748683,0.187267088,0.1306692,1.159626816
10/11/18,0.241983108,1.069089116,0.769847499,0.0727248,0.325869593,0.26672515,0.115499796,0.0943722,0.0993426,0.867063663,0.183491047,0.1306692,1.263418234
10/12/18,0.218534057,0.878590413,0.890345381,0.0727248,0.190811398,0.2790618,0.160565569,0.0943722,0.0993426,0.850690415,0.181537669,0.1306692,1.284129
10/13/18,0.220278696,1.118440484,0.903511048,0.0727248,0.276200848,0.277216911,0.1612764,0.0943722,0.0993426,0.861676848,0.1873056,0.1306692,1.284129
10/14/18,0.096095486,0.740660705,0.525534899,0.0727248,0.091387537,0.176371239,0.116107439,0.0943722,0.0993426,0.743157572,0.185972351,0.12836781,1.244108543
10/15/18,0.132825218,0.785210794,0.261388706,0.071275244,0.091843932,0.057883838,0.14409106,0.077723759,0.077115339,0.270895529,0.1873056,0.11585428,0.735517779
10/16/18,0.154379904,0.20004291,0.377557777,0.025910407,0.068582092,0.060913798,0.159128099,0.029154067,0.039079763,0.157976414,0.178133154,0.124838775,0.813028445
10/17/18,0.128058395,0.537675455,0.41658016,0.067439088,0.098421603,0.151730597,0.153942946,0.062633534,0.01402113,0.374236853,0.186235463,0.109965906,0.965589444
10/18/18,0.136626007,0.430654274,0.263686541,0.027096008,0.187737853,0.167117022,0.048013457,0.048891141,0.013905136,0.080284823,0.131619448,0.044886296,0.739595997
10/19/18,0.00247997,0.403555767,0.043030217,0.063864037,0.055859828,0.277154641,0.001412951,0.0943722,0.0993426,0.156259292,0.067170462,0.058129258,0.78601271
10/20/18,0.14132329,1.156558466,0.31238987,0.070322484,0.161664159,0.2790618,0.012805702,0.0943722,0.0993426,0.728647373,0.00415998,0.084489902,1.216524645
10/21/18,0.153800288,1.13191612,0.446424998,0.034118794,0.193070039,0.2790618,0.042103571,0.024065015,0.058960942,0.858993575,0.080251186,0.011249653,1.171583945
10/22/18,0.045088606,1.143369295,0.53906495,0.038905049,0.067280005,0.2790618,0.064287652,0.013872656,0.009682848,0.627145168,0.183183399,0.02710821,1.105780305
10/23/18,0.192336972,1.161161757,0.919245028,0.058190193,0.140945058,0.276321898,0.156364651,0.086740859,0.096175341,0.690322632,0.186884588,0.1306692,1.219310617
